>CCDC6_ENST00000263102.6,chr10:61548521-61666414
17,141023785,141024005
18,141022568,141022655
19,141021269,141021324
20,141018869,141021130

>NPM1_ENST00000296930.5,chr5:170814120-170838141
1,170814652,170815010
2,170817055,170817134
3,170818309,170818428
4,170818710,170818803
5,170819714,170819820
6,170819918,170819982
7,170827157,170827214
8,170827843,170827929
9,170832306,170832407
10,170834704,170834778
11,170837531,170838141

>ATF1_ENST00000262053.3,chr12:51157493-51214905
1,51158075,51158090
2,51173923,51174021
3,51189692,51189792
4,51203239,51203372
5,51207793,51207975
6,51208063,51208222
7,51213418,51214905

>FUS_ENST00000254108.7,chr16:31191431-31203127
1,31191431,31191548
2,31193719,31193743
3,31193834,31193985
4,31195179,31195323
5,31195530,31195717
6,31196260,31196500
7,31198123,31198157
8,31199646,31199678
9,31200444,31200547
10,31200986,31201115
11,31201361,31201462
12,31201596,31201719
13,31202063,31202163
14,31202284,31202431
15,31202720,31203127

>TAF15_ENST00000588240.1,chr17:34136459-34191619
1,34136459,34136580
2,34144720,34144759
3,34147028,34147079
4,34147168,34147252
5,34147336,34147441
6,34149644,34149837
7,34151082,34151202
8,34160911,34160945
9,34161570,34161602
10,34163136,34163245
11,34165428,34165557
12,34169371,34169463
13,34171081,34171162
14,34171284,34171372
15,34171481,34172042
16,34173910,34174246

>NR4A3_ENST00000395097.2,chr9:102584137-102629173
1,102584137,102584689
2,102587941,102588114
3,102590323,102591275
4,102594971,102595100
5,102595564,102595736
6,102606931,102607130
7,102609719,102609897
8,102625902,102627333

>FOXO1_ENST00000379561.5,chr13:41129804-41240734
1,41239720,41240734
2,41133646,41134997
3,41129804,41133171

>NCOA4_ENST00000374087.4,chr10:51565108-51590734
1,51565227,51565296
2,51579128,51579282
3,51580556,51580696
4,51580880,51580968
5,51581270,51581378
6,51582183,51582272
7,51582796,51582939
8,51584616,51585599
9,51586271,51586411
10,51589225,51590732

>DDIT3_ENST00000346473.3,chr12:57910371-57914300
1,57914201,57914300
2,57911489,57911536
3,57911052,57911221
4,57910376,57910963

>CREB3L2_ENST00000330387.6,chr7:137559725-137686813
1,137686350,137686803
2,137612896,137613112
3,137600583,137600758
4,137597737,137597824
5,137592998,137593182
6,137590448,137590594
7,137588705,137588763
8,137586100,137586168
9,137570149,137570248
10,137569741,137569867
11,137567158,137567374
12,137559725,137565297

>ASPSCR1_ENST00000306739.4,chr17:79934683-79975282
1,79935426,79935624
2,79937060,79937115
3,79941430,79941544
4,79943383,79943483
5,79952697,79952754
6,79953868,79953941
7,79954296,79954722
8,79966913,79967067
9,79967362,79967443
10,79968678,79968744
11,79969419,79969481
12,79970107,79970159
13,79974352,79974403
14,79974676,79974745
15,79974817,79974989
16,79975185,79975282

>TFE3_ENST00000315869.7,chrX:48886242-48901012
1,48900637,48901012
2,48897982,48898095
3,48896632,48896935
4,48895722,48895967
5,48895535,48895639
6,48891649,48891766
7,48891241,48891297
8,48890980,48891055
9,48888912,48889059
10,48886242,48888112

>RAF1_ENST00000251849.4,chr3:12625100-12705725
1,12705312,12705725
2,12660014,12660246
3,12653449,12653561
4,12650732,12650834
5,12650265,12650422
6,12647700,12647798
7,12645635,12645788
8,12641887,12641914
9,12641651,12641778
10,12641190,12641307
11,12633207,12633291
12,12632297,12632473
13,12629090,12629136
14,12627180,12627298
15,12626621,12626752
16,12626346,12626480
17,12625100,12626156

>TECTA_ENST00000392793.1,chr11:120971882-121062202
1,120971882,120972151
2,120973374,120973438
3,120976540,120976673
4,120979920,120980207
5,120983781,120983918
6,120984262,120984427
7,120989015,120989427
8,120996011,120996581
9,120998461,120999053
10,121000347,121000920
11,121008130,121008731
12,121016264,121016825
13,121023590,121023789
14,121028550,121028933
15,121030844,121031130
16,121032784,121033079
17,121035982,121036092
18,121037287,121037489
19,121038763,121038926
20,121039386,121039634
21,121058541,121058703
22,121059789,121059876
23,121060473,121060589
24,121061415,121062202

>BBS9_ENST00000350941.3,chr7:33168856-33645680
1,33169152,33169653
2,33185854,33185976
3,33192313,33192463
4,33195250,33195314
5,33217090,33217203
6,33296848,33297022
7,33303902,33303986
8,33312624,33312807
9,33313439,33313568
10,33376053,33376234
11,33380509,33380585
12,33384193,33384246
13,33388680,33388782
14,33397467,33397607
15,33407379,33407474
16,33423278,33423450
17,33427604,33427756
18,33545075,33545257
19,33573566,33573788
20,33644477,33644587
21,33644807,33645680

>NTN1_ENST00000173229.2,chr17:8924859-9147317
1,8924859,8924902
2,8925628,8926708
3,9066130,9066318
4,9083124,9083273
5,9086233,9086286
6,9124485,9124559
7,9142957,9147317

>FBXL18_ENST00000415009.1,chr7:5470966-5553429
1,5553288,5553383
2,5545043,5545261
3,5540119,5541662
4,5530862,5531080
5,5487357,5487474
6,5478121,5478282
7,5470966,5471133

>ETV6_ENST00000396373.4,chr12:11802788-12048336
1,11802788,11803094
2,11905384,11905513
3,11992074,11992238
4,12006361,12006495
5,12022358,12022903
6,12037379,12037521
7,12038860,12038960
8,12043875,12048336

>FGFR1_ENST00000397091.5,chr8:38268656-38326352
1,38325499,38326159
2,38314874,38315052
3,38287200,38287466
4,38285870,38285953
5,38285439,38285611
6,38283640,38283763
7,38282027,38282217
8,38279315,38279459
9,38277051,38277253
10,38275746,38275891
11,38275388,38275509
12,38274824,38274934
13,38273388,38273578
14,38272297,38272419
15,38272077,38272147
16,38271670,38271807
17,38271436,38271541
18,38268656,38271322

>HN1_ENST00000409753.3,chr17:73131343-73164376
1,73150437,73150778
2,73144624,73144766
3,73143651,73143748
4,73142761,73142779
5,73131343,73132345

>NF1_ENST00000358273.4,chr17:29421945-29709134
1,29421945,29422387
2,29483001,29483144
3,29486028,29486111
4,29490204,29490394
5,29496909,29497015
6,29508440,29508507
7,29508728,29508803
8,29509526,29509683
9,29527440,29527613
10,29528055,29528177
11,29528429,29528503
12,29533258,29533389
13,29541469,29541603
14,29546023,29546136
15,29548868,29548947
16,29550462,29550585
17,29552113,29552268
18,29553453,29553702
19,29554236,29554309
20,29554541,29554624
21,29556043,29556483
22,29556853,29556992
23,29557278,29557400
24,29557860,29557943
25,29559091,29559207
26,29559718,29559899
27,29560020,29560231
28,29562629,29562790
29,29562936,29563039
30,29576002,29576137
31,29579956,29580018
32,29585362,29585520
33,29586050,29586147
34,29587387,29587533
35,29588729,29588875
36,29592247,29592357
37,29652838,29653270
38,29654517,29654857
39,29657314,29657516
40,29661856,29662049
41,29663351,29663491
42,29663653,29663932
43,29664386,29664600
44,29664837,29664898
45,29665043,29665157
46,29665722,29665823
47,29667523,29667663
48,29670027,29670153
49,29676138,29676269
50,29677201,29677336
51,29679275,29679432
52,29683478,29683600
53,29683978,29684108
54,29684287,29684387
55,29685498,29685640
56,29685987,29686033
57,29687505,29687721
58,29701031,29704695

>SSH2_ENST00000269033.3,chr17:27952956-28257294
1,28256956,28257170
2,28120912,28120955
3,28029977,28030080
4,28022477,28022541
5,28011581,28011702
6,28004691,28004759
7,28003838,28003903
8,27998953,27999147
9,27994148,27994241
10,27993885,27994013
11,27982579,27982625
12,27977672,27977818
13,27975162,27975362
14,27962986,27963820
15,27952956,27959949

>RANBP2_ENST00000283195.6,chr2:109335937-109402267
1,109335937,109336134
2,109345588,109345655
3,109347230,109347341
4,109347778,109347930
5,109351988,109352218
6,109352560,109352705
7,109356945,109357137
8,109363167,109363254
9,109365376,109365585
10,109367720,109367901
11,109367984,109368159
12,109368327,109368450
13,109369454,109369615
14,109369882,109370019
15,109370281,109370427
16,109371361,109371540
17,109371632,109371715
18,109374869,109375004
19,109378557,109378651
20,109379693,109384844
21,109388157,109388327
22,109388945,109389037
23,109389324,109389502
24,109392188,109392392
25,109393586,109393687
26,109397725,109397885
27,109398584,109398857
28,109398984,109399318
29,109400052,109402267

>TPM3_ENST00000368530.2,chr1:154127784-154167124
1,154164378,154164687
2,154163662,154163787
3,154148591,154148724
4,154145560,154145677
5,154145384,154145454
6,154143889,154143964
7,154143125,154143187
8,154142876,154142945
9,154141781,154141859
10,154139941,154140416

>TFG_ENST00000240851.4,chr3:100428205-100467810
1,100428269,100428565
2,100432487,100432713
3,100438819,100438902
4,100447556,100447702
5,100451352,100451516
6,100455420,100455560
7,100463677,100463775
8,100466993,100467810

>ATIC_ENST00000236959.9,chr2:216176540-216214487
1,216176540,216176884
2,216177221,216177347
3,216182880,216182956
4,216184388,216184454
5,216189964,216190052
6,216190710,216190861
7,216191545,216191701
8,216197105,216197230
9,216198073,216198180
10,216199642,216199727
11,216200758,216200847
12,216203502,216203630
13,216209502,216209594
14,216211482,216211664
15,216213817,216213972
16,216214259,216214486

>MSN_ENST00000360270.5,chrX:64808257-64961791
1,64887537,64887720
2,64936680,64936763
3,64947676,64947771
4,64949300,64949574
5,64950969,64951052
6,64951700,64951846
7,64953046,64953142
8,64955129,64955292
9,64956657,64956787
10,64957040,64957200
11,64958387,64958479
12,64958832,64959056
13,64959591,64961791

>ALK_ENST00000389048.3,chr2:29415640-30144432
1,30142859,30144432
2,29940444,29940563
3,29917716,29917880
4,29754781,29754982
5,29606598,29606725
6,29551216,29551347
7,29543617,29543748
8,29541170,29541270
9,29519754,29519923
10,29498268,29498362
11,29497965,29498093
12,29473971,29474133
13,29462546,29462696
14,29456431,29456562
15,29455170,29455314
16,29451750,29451932
17,29450440,29450538
18,29449788,29449940
19,29448327,29448431
20,29446208,29446394
21,29445383,29445473
22,29445210,29445274
23,29443572,29443701
24,29436850,29436947
25,29432652,29432744
26,29430037,29430138
27,29420408,29420542
28,29419636,29419726
29,29415640,29416788

>CLTC_ENST00000269122.3,chr17:57697219-57773671
1,57697219,57697534
2,57721637,57721844
3,57724759,57725027
4,57725601,57725762
5,57728564,57728677
6,57733215,57733388
7,57737752,57737949
8,57738804,57739004
9,57741203,57741355
10,57742148,57742270
11,57743464,57743601
12,57743841,57744005
13,57744158,57744338
14,57746138,57746301
15,57751008,57751133
16,57752062,57752204
17,57754315,57754549
18,57756758,57756880
19,57758273,57758418
20,57758656,57758839
21,57759008,57759200
22,57759632,57759789
23,57759990,57760154
24,57760268,57760375
25,57760456,57760623
26,57760748,57760897
27,57760986,57761117
28,57761236,57761346
29,57762417,57762587
30,57762948,57763169
31,57767997,57768072
32,57771089,57773671

>CARS_ENST00000397111.5,chr11:3022152-3078843
1,3078573,3078843
2,3063395,3063486
3,3062126,3062214
4,3061065,3061161
5,3060424,3060522
6,3059280,3059429
7,3050533,3050673
8,3050226,3050314
9,3047906,3048027
10,3041450,3041562
11,3040369,3040497
12,3039850,3039979
13,3039638,3039741
14,3039087,3039184
15,3038336,3038525
16,3037011,3037079
17,3033425,3033506
18,3028109,3028189
19,3026596,3026663
20,3023771,3023830
21,3023200,3023283
22,3022152,3022478

>TPM4_ENST00000344824.6,chr19:16177831-16213813
1,16178317,16178548
2,16186857,16186982
3,16192723,16192856
4,16197233,16197350
5,16198837,16198907
6,16199855,16199930
7,16204346,16204408
8,16204494,16204563
9,16212074,16212600

>SEC31A_ENST00000395310.2,chr4:83739814-83822319
1,83812241,83812419
2,83803011,83803093
3,83801952,83802075
4,83799883,83800081
5,83796880,83796975
6,83795764,83795904
7,83793097,83793239
8,83791478,83791577
9,83788308,83788469
10,83787961,83788113
11,83785515,83785751
12,83784471,83784545
13,83783687,83783725
14,83782784,83782861
15,83778842,83778917
16,83778105,83778283
17,83776056,83776182
18,83774723,83774868
19,83772584,83772757
20,83769957,83770130
21,83765539,83765662
22,83763293,83763634
23,83750153,83750211
24,83748522,83748785
25,83745708,83745827
26,83742190,83742261
27,83739814,83740406

>KIAA1549_ENST00000440172.1,chr7:138516126-138666064
1,138665829,138666064
2,138601494,138604184
3,138597118,138597206
4,138595892,138596069
5,138593737,138593867
6,138591665,138591848
7,138589768,138589827
8,138588334,138588482
9,138583701,138583878
10,138579088,138579272
11,138566134,138566330
12,138564284,138564399
13,138555903,138556108
14,138554284,138554507
15,138552721,138552874
16,138545885,138546202
17,138536969,138537015
18,138529062,138529219
19,138524878,138525023
20,138516126,138522857

>SSBP2_ENST00000320672.4,chr5:80708840-81047616
1,81046800,81047072
2,80946086,80946158
3,80932376,80932437
4,80911292,80911376
5,80809447,80809536
6,80785069,80785128
7,80770315,80770381
8,80769519,80769589
9,80762793,80762860
10,80756874,80756922
11,80744609,80744644
12,80742687,80742741
13,80738472,80738542
14,80736377,80736455
15,80733249,80733277
16,80724404,80724502
17,80708840,80716352

>COL1A1_ENST00000225964.5,chr17:48260650-48278993
1,48278772,48278993
2,48277114,48277308
3,48276917,48276951
4,48276779,48276814
5,48276587,48276688
6,48275794,48275865
7,48275522,48275566
8,48275310,48275363
9,48275093,48275146
10,48274541,48274594
11,48274371,48274424
12,48273978,48274031
13,48273845,48273889
14,48273675,48273728
15,48273516,48273560
16,48273284,48273337
17,48272928,48273026
18,48272795,48272839
19,48272593,48272691
20,48272408,48272461
21,48272082,48272189
22,48271934,48271987
23,48271710,48271808
24,48271491,48271544
25,48271304,48271402
26,48270355,48270408
27,48270158,48270211
28,48270001,48270054
29,48269836,48269889
30,48269341,48269385
31,48269149,48269247
32,48268744,48268851
33,48268178,48268285
34,48267904,48267957
35,48267688,48267741
36,48267362,48267469
37,48267220,48267273
38,48267040,48267093
39,48266738,48266899
40,48266529,48266636
41,48266264,48266371
42,48266103,48266156
43,48265891,48265998
44,48265457,48265510
45,48265237,48265344
46,48264845,48264898
47,48264376,48264483
48,48264001,48264283
49,48263678,48263868
50,48263139,48263381
51,48260650,48263009

>KMT2A_ENST00000534358.1,chr11:118307205-118397539
1,118307205,118307659
2,118339490,118339559
3,118342377,118345030
4,118347520,118347697
5,118348682,118348916
6,118350889,118350953
7,118352430,118352807
8,118353137,118353210
9,118354898,118355029
10,118355577,118355690
11,118359329,118359475
12,118360507,118360602
13,118360844,118360964
14,118361911,118362033
15,118362459,118362643
16,118363772,118363945
17,118365003,118365113
18,118365409,118365482
19,118366415,118366608
20,118366976,118367082
21,118368651,118368788
22,118369085,118369243
23,118370018,118370135
24,118370550,118370628
25,118371702,118371862
26,118372387,118372572
27,118373113,118377361
28,118378244,118378324
29,118379851,118379915
30,118380663,118380833
31,118382666,118382740
32,118390333,118390507
33,118390672,118390779
34,118391517,118391600
35,118392003,118392132
36,118392612,118397539

>JAZF1_ENST00000283928.5,chr7:27870192-28220362
1,28220082,28220362
2,28031528,28031600
3,27934839,27935035
4,27880317,27880486
5,27870192,27872595

>BCR_ENST00000305877.8,chr22:23521891-23660224
1,23522397,23524426
2,23595986,23596167
3,23603137,23603241
4,23603542,23603727
5,23610595,23610702
6,23613719,23613779
7,23615268,23615320
8,23615821,23615961
9,23626164,23626285
10,23627220,23627388
11,23629346,23629465
12,23630284,23630359
13,23631704,23631808
14,23632526,23632600
15,23634728,23634825
16,23637211,23637342
17,23651611,23651670
18,23652511,23652620
19,23653884,23654023
20,23655074,23655208
21,23656155,23656260
22,23656739,23656901
23,23657620,23660224

>PRCC_ENST00000271526.4,chr1:156720402-156770607
1,156737292,156738031
2,156752074,156752121
3,156756400,156756966
4,156761489,156761584
5,156764457,156764600
6,156767068,156767133
7,156770166,156770607

>JAK2_ENST00000381652.3,chr9:4985033-5128183
1,4985245,4985630
2,4985940,4986022
3,5021963,5022213
4,5029783,5029906
5,5044403,5044520
6,5050686,5050831
7,5054563,5054884
8,5055669,5055788
9,5064883,5065040
10,5066678,5066789
11,5069022,5069208
12,5069925,5070052
13,5072492,5072626
14,5073698,5073785
15,5077453,5077580
16,5078306,5078444
17,5080229,5080380
18,5080533,5080683
19,5081725,5081861
20,5089674,5089863
21,5090446,5090570
22,5090739,5090911
23,5123004,5123121
24,5126333,5126446
25,5126684,5128183

>SRGAP3_ENST00000383836.3,chr3:9022275-9404737
1,9290569,9291063
2,9166409,9166601
3,9146364,9146526
4,9121709,9121771
5,9106080,9106265
6,9101915,9102043
7,9099935,9100156
8,9097917,9098018
9,9094711,9094908
10,9089075,9089159
11,9079747,9079774
12,9074334,9074436
13,9068619,9068679
14,9066945,9067022
15,9057281,9057415
16,9055421,9055526
17,9054992,9055219
18,9051992,9052071
19,9036027,9036207
20,9034590,9034739
21,9032196,9032523
22,9022275,9027616

>KIF5B_ENST00000302418.4,chr10:32297938-32345359
1,32344776,32345359
2,32337392,32337479
3,32329312,32329385
4,32328255,32328359
5,32327706,32327754
6,32327091,32327146
7,32326448,32326535
8,32326182,32326306
9,32324818,32324922
10,32324450,32324595
11,32323618,32323766
12,32322773,32322966
13,32321634,32321702
14,32320001,32320207
15,32317356,32317499
16,32311776,32311964
17,32311068,32311185
18,32310154,32310215
19,32309950,32310059
20,32308786,32308887
21,32307430,32307490
22,32307244,32307315
23,32306980,32307084
24,32306071,32306287
25,32304437,32304587
26,32297938,32300444

>SLC45A3_ENST00000367145.3,chr1:205626979-205649587
1,205649522,205649587
2,205633613,205634014
3,205631961,205632746
4,205630989,205631254
5,205626979,205628799

>NDRG1_ENST00000414097.2,chr8:134249414-134314265
1,134308980,134309829
2,134296492,134296572
3,134292475,134292510
4,134276790,134276895
5,134274290,134274410
6,134271411,134271473
7,134270609,134270669
8,134269020,134269106
9,134266782,134266838
10,134262683,134262786
11,134260958,134261014
12,134260118,134260169
13,134258859,134258906
14,134256598,134256633
15,134254266,134254317
16,134249419,134251362

>SFPQ_ENST00000357214.5,chr1:35641979-35658749
1,35657823,35658749
2,35656942,35657130
3,35656295,35656596
4,35656099,35656194
5,35654787,35654983
6,35654604,35654688
7,35653574,35653691
8,35652804,35652852
9,35652602,35652723
10,35648533,35650194

>NONO_ENST00000473525.1,chrX:70503042-70521018
1,70516711,70516897
2,70517227,70517311
3,70517686,70518358
4,70518557,70518666
5,70519792,70520166

>CRTC1_ENST00000338797.6,chr19:18794487-18893004
1,18794488,18794638
2,18853720,18853836
3,18854918,18854965
4,18856633,18856770
5,18857863,18857924
6,18860591,18860685
7,18864310,18864395
8,18870361,18870401
9,18870818,18871038
10,18876214,18876338
11,18879295,18879603
12,18882252,18882356
13,18885710,18885796
14,18886451,18886631
15,18887981,18893004

>MYB_ENST00000367814.4,chr6:135502453-135540311
1,135502466,135502674
2,135507041,135507158
3,135508972,135509043
4,135510929,135511021
5,135511265,135511485
6,135513462,135513696
7,135514976,135515056
8,135515494,135515598
9,135516886,135517140
10,135520046,135520188
11,135521223,135521337
12,135521428,135521553
13,135522777,135522887
14,135524355,135524462
15,135539002,135540311

>NFIB_ENST00000380959.3,chr9:14081842-14398982
1,14313481,14313984
2,14306988,14307519
3,14179726,14179779
4,14155824,14155892
5,14150144,14150264
6,14146688,14146806
7,14125631,14125765
8,14120439,14120623
9,14081847,14088325

>TCF12_ENST00000267811.5,chr15:57210821-57591479
1,57210823,57211104
2,57212090,57212186
3,57213224,57213296
4,57355948,57356021
5,57383987,57384089
6,57458600,57458664
7,57484356,57484491
8,57489971,57490023
9,57523350,57523455
10,57524489,57524628
11,57524910,57525054
12,57526241,57526305
13,57535670,57535748
14,57543548,57543621
15,57545460,57545666
16,57554292,57554406
17,57555310,57555472
18,57565228,57565460
19,57574643,57574796
20,57578355,57582051

>HMGA2_ENST00000403681.2,chr12:66217911-66360075
1,66217911,66219161
2,66221781,66221867
3,66232299,66232349
4,66345163,66345195
5,66357025,66360075

>BRD4_ENST00000263377.2,chr19:15347647-15443356
1,15391075,15391262
2,15383626,15383944
3,15379716,15379853
4,15378227,15378362
5,15376165,15376454
6,15375215,15375577
7,15374231,15374359
8,15367775,15367984
9,15366875,15367074
10,15366108,15366403
11,15364963,15365073
12,15355521,15355573
13,15355042,15355411
14,15353711,15354298
15,15350721,15350833
16,15350470,15350632
17,15350203,15350333
18,15349870,15350075
19,15349554,15349791
20,15347647,15349256

>NTRK3_ENST00000394480.2,chr15:88418230-88799999
1,88799875,88799978
2,88799515,88799717
3,88799137,88799399
4,88727456,88727530
5,88726649,88726720
6,88690566,88690634
7,88680635,88680792
8,88679698,88679840
9,88679130,88679271
10,88678332,88678628
11,88671942,88671965
12,88670393,88670457
13,88669502,88669604
14,88576088,88576276
15,88483854,88483984
16,88476243,88476415
17,88472422,88472665
18,88423501,88423659
19,88418230,88420351

>ESRP1_ENST00000433389.2,chr8:95653302-95719694
1,95653357,95653678
2,95654184,95654312
3,95655531,95655644
4,95658396,95658510
5,95674500,95674598
6,95674729,95674783
7,95676925,95677035
8,95677155,95677287
9,95677382,95677424
10,95680177,95680478
11,95683681,95683899
12,95686536,95686734
13,95690431,95690599
14,95704905,95705055
15,95709080,95709189
16,95718153,95719651

>AGTRAP_ENST00000314340.5,chr1:11796141-11814859
1,11796212,11796292
2,11805860,11805894
3,11807497,11807602
4,11808472,11808667
5,11810134,11810822

>LPP_ENST00000312675.4,chr3:187871072-188608460
1,187930721,187930834
2,187943193,187943315
3,188123900,188124101
4,188202380,188202492
5,188242453,188242575
6,188326949,188327632
7,188426055,188426181
8,188477901,188478070
9,188583988,188584166
10,188590431,188590551
11,188592139,188608460

>BRD3_ENST00000303407.7,chr9:136895427-136933657
1,136933067,136933139
2,136918387,136918712
3,136917428,136917565
4,136916684,136916831
5,136915496,136915710
6,136913205,136913576
7,136910415,136910543
8,136906882,136907073
9,136905156,136905391
10,136901154,136901446
11,136899823,136899951
12,136895427,136898827

>RAD51B_ENST00000487861.1,chr14:68286496-69196935
1,68286496,68286570
2,68290259,68290344
3,68292181,68292294
4,68301797,68301913
5,68331720,68331856
6,68352586,68352705
7,68353738,68353921
8,68758601,68758697
9,68878141,68878244
10,68934889,68934967
11,69077723,69078282

>PCM1_ENST00000325083.8,chr8:17780349-17885478
1,17780349,17780697
2,17782222,17782289
3,17793098,17793215
4,17794643,17794888
5,17796249,17796518
6,17797200,17797370
7,17804695,17804872
8,17808124,17808233
9,17810479,17810695
10,17812979,17813162
11,17814113,17814286
12,17814773,17814930
13,17815049,17815284
14,17817523,17817674
15,17817824,17817953
16,17819543,17819683
17,17820610,17820800
18,17822077,17822277
19,17823508,17823727
20,17823837,17823982
21,17824489,17824679
22,17827086,17827257
23,17829838,17830196
24,17838100,17838264
25,17842956,17843128
26,17843468,17843596
27,17847368,17847488
28,17849051,17849209
29,17850992,17851128
30,17863772,17863906
31,17867056,17867253
32,17868118,17868177
33,17868746,17868875
34,17869176,17869336
35,17871473,17871545
36,17872093,17872349
37,17882870,17882962
38,17883053,17883167
39,17885146,17885477

>KTN1_ENST00000459737.1,chr14:56025790-56168244
1,56047040,56047072
2,56068475,56068598
3,56078737,56079289
4,56083235,56083372
5,56084682,56084852
6,56085900,56086030
7,56094630,56094746
8,56096675,56096815
9,56099953,56100059
10,56101244,56101376
11,56103167,56103254
12,56103916,56104082
13,56104497,56104565
14,56105903,56105940
15,56106631,56106721
16,56107092,56107160
17,56107651,56107688
18,56107845,56107926
19,56108410,56108478
20,56113691,56113725
21,56114743,56114833
22,56115520,56115588
23,56116494,56116531
24,56117046,56117136
25,56117287,56117355
26,56118608,56118645
27,56119568,56119658
28,56119735,56119803
29,56120277,56120314
30,56122760,56122850
31,56125264,56125332
32,56126384,56126421
33,56128240,56128330
34,56130673,56130759
35,56133959,56134048
36,56137447,56137527
37,56138284,56138373
38,56138503,56138595
39,56139348,56139419
40,56139647,56139730
41,56139890,56139973
42,56142553,56142636
43,56145070,56145162
44,56146283,56146403
45,56147404,56147459
46,56150817,56151297

>FHIT_ENST00000476844.1,chr3:59735036-61237133
1,61236975,61237087
2,61186291,61186339
3,61027719,61027771
4,60807613,60807705
5,60522593,60522712
6,59999733,59999878
7,59997097,59997126
8,59908072,59908140
9,59737947,59738047
10,59735036,59735294

>SQSTM1_ENST00000389805.4,chr5:179233388-179265078
1,179247759,179248141
2,179249958,179250053
3,179250858,179251087
4,179251182,179251323
5,179252146,179252226
6,179260032,179260246
7,179260587,179260782
8,179263436,179265078

>PPFIBP1_ENST00000228425.6,chr12:27676364-27848497
1,27677189,27677298
2,27731085,27731172
3,27786295,27786393
4,27787843,27788048
5,27798995,27799081
6,27800662,27800775
7,27802943,27803074
8,27807655,27807747
9,27809549,27809663
10,27811749,27811781
11,27813817,27813878
12,27817295,27817379
13,27820099,27820253
14,27824364,27824479
15,27825360,27825416
16,27826700,27826760
17,27827125,27827154
18,27829361,27829532
19,27829997,27830029
