HGNC ID	Approved Symbol	Approved Name	UniProt ID(supplied by UniProt)
HGNC:23993	AASDH	aminoadipate-semialdehyde dehydrogenase	Q4L235
HGNC:14235	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	Q9NRN7
HGNC:17366	AASS	aminoadipate-semialdehyde synthase	Q9UDR5
HGNC:51526	AATBC	apoptosis associated transcript in bladder cancer	
HGNC:19235	AATF	apoptosis antagonizing transcription factor	Q9NY61
HGNC:21	AATK	apoptosis-associated tyrosine kinase	Q6ZMQ8
HGNC:40053	AATK-AS1	AATK antisense RNA 1	
HGNC:22	AAVS1	adeno-associated virus integration site 1	
HGNC:49667	ABALON	apoptotic BCL2L1-antisense long non-coding RNA	
HGNC:23	ABAT	4-aminobutyrate aminotransferase	P80404
HGNC:29	ABCA1	ATP binding cassette subfamily A member 1	O95477
HGNC:32	ABCA2	ATP binding cassette subfamily A member 2	Q9BZC7
HGNC:33	ABCA3	ATP binding cassette subfamily A member 3	Q99758
HGNC:34	ABCA4	ATP binding cassette subfamily A member 4	P78363
HGNC:35	ABCA5	ATP binding cassette subfamily A member 5	Q8WWZ7
HGNC:36	ABCA6	ATP binding cassette subfamily A member 6	Q8N139
HGNC:37	ABCA7	ATP binding cassette subfamily A member 7	Q8IZY2
HGNC:38	ABCA8	ATP binding cassette subfamily A member 8	O94911
HGNC:39	ABCA9	ATP binding cassette subfamily A member 9	Q8IUA7
HGNC:39983	ABCA9-AS1	ABCA9 antisense RNA 1	
HGNC:30	ABCA10	ATP binding cassette subfamily A member 10	Q8WWZ4
HGNC:31	ABCA11P	ATP binding cassette subfamily A member 11, pseudogene	Q4W5N1
HGNC:14637	ABCA12	ATP binding cassette subfamily A member 12	Q86UK0
HGNC:14638	ABCA13	ATP binding cassette subfamily A member 13	Q86UQ4
HGNC:32972	ABCA17P	ATP binding cassette subfamily A member 17, pseudogene	
HGNC:40	ABCB1	ATP binding cassette subfamily B member 1	P08183
HGNC:45	ABCB4	ATP binding cassette subfamily B member 4	P21439
HGNC:46	ABCB5	ATP binding cassette subfamily B member 5	Q2M3G0
HGNC:47	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)	Q9NP58
HGNC:48	ABCB7	ATP binding cassette subfamily B member 7	O75027
HGNC:49	ABCB8	ATP binding cassette subfamily B member 8	Q9NUT2
HGNC:50	ABCB9	ATP binding cassette subfamily B member 9	Q9NP78
HGNC:41	ABCB10	ATP binding cassette subfamily B member 10	Q9NRK6
HGNC:14114	ABCB10P1	ATP binding cassette subfamily B member 10 pseudogene 1	
HGNC:31129	ABCB10P3	ATP binding cassette subfamily B member 10 pseudogene 3	
HGNC:31130	ABCB10P4	ATP binding cassette subfamily B member 10 pseudogene 4	
HGNC:42	ABCB11	ATP binding cassette subfamily B member 11	O95342
HGNC:51	ABCC1	ATP binding cassette subfamily C member 1	P33527
HGNC:53	ABCC2	ATP binding cassette subfamily C member 2	Q92887
HGNC:54	ABCC3	ATP binding cassette subfamily C member 3	O15438
HGNC:55	ABCC4	ATP binding cassette subfamily C member 4	O15439
HGNC:56	ABCC5	ATP binding cassette subfamily C member 5	O15440
HGNC:40055	ABCC5-AS1	ABCC5 antisense RNA 1	
HGNC:57	ABCC6	ATP binding cassette subfamily C member 6	O95255
HGNC:33352	ABCC6P1	ATP binding cassette subfamily C member 6 pseudogene 1	
HGNC:33353	ABCC6P2	ATP binding cassette subfamily C member 6 pseudogene 2	
HGNC:59	ABCC8	ATP binding cassette subfamily C member 8	Q09428
HGNC:60	ABCC9	ATP binding cassette subfamily C member 9	O60706
HGNC:52	ABCC10	ATP binding cassette subfamily C member 10	Q5T3U5
HGNC:14639	ABCC11	ATP binding cassette subfamily C member 11	Q96J66
HGNC:14640	ABCC12	ATP binding cassette subfamily C member 12	Q96J65
HGNC:16022	ABCC13	ATP binding cassette subfamily C member 13 (pseudogene)	Q9NSE7
HGNC:61	ABCD1	ATP binding cassette subfamily D member 1	P33897
HGNC:62	ABCD1P1	ATP binding cassette subfamily D member 1 pseudogene 1	
HGNC:63	ABCD1P2	ATP binding cassette subfamily D member 1 pseudogene 2	
HGNC:64	ABCD1P3	ATP binding cassette subfamily D member 1 pseudogene 3	
HGNC:65	ABCD1P4	ATP binding cassette subfamily D member 1 pseudogene 4	
HGNC:42662	ABCD1P5	ATP binding cassette subfamily D member 1 pseudogene 5	
HGNC:66	ABCD2	ATP binding cassette subfamily D member 2	Q9UBJ2
HGNC:67	ABCD3	ATP binding cassette subfamily D member 3	P28288
HGNC:68	ABCD4	ATP binding cassette subfamily D member 4	O14678
HGNC:69	ABCE1	ATP binding cassette subfamily E member 1	P61221
HGNC:70	ABCF1	ATP binding cassette subfamily F member 1	Q8NE71
HGNC:71	ABCF2	ATP binding cassette subfamily F member 2	Q9UG63
HGNC:48841	ABCF2P1	ATP binding cassette subfamily F member 2 pseudogene 1	
HGNC:48842	ABCF2P2	ATP binding cassette subfamily F member 2 pseudogene 2	
HGNC:72	ABCF3	ATP binding cassette subfamily F member 3	Q9NUQ8
HGNC:73	ABCG1	ATP binding cassette subfamily G member 1	P45844
HGNC:74	ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)	Q9UNQ0
HGNC:13884	ABCG4	ATP binding cassette subfamily G member 4	Q9H172
HGNC:13886	ABCG5	ATP binding cassette subfamily G member 5	Q9H222
HGNC:13887	ABCG8	ATP binding cassette subfamily G member 8	Q9H221
HGNC:17553	ABHD1	abhydrolase domain containing 1	Q96SE0
HGNC:18717	ABHD2	abhydrolase domain containing 2	P08910
HGNC:18718	ABHD3	abhydrolase domain containing 3	Q8WU67
HGNC:20154	ABHD4	abhydrolase domain containing 4	Q8TB40
HGNC:21396	ABHD5	abhydrolase domain containing 5	Q8WTS1
HGNC:21398	ABHD6	abhydrolase domain containing 6	Q9BV23
HGNC:23759	ABHD8	abhydrolase domain containing 8	Q96I13
HGNC:25656	ABHD10	abhydrolase domain containing 10	Q9NUJ1
HGNC:16407	ABHD11	abhydrolase domain containing 11	Q8NFV4
HGNC:18289	ABHD11-AS1	ABHD11 antisense RNA 1 (tail to tail)	
HGNC:15868	ABHD12	abhydrolase domain containing 12	Q8N2K0
HGNC:19837	ABHD12B	abhydrolase domain containing 12B	Q7Z5M8
HGNC:20293	ABHD13	abhydrolase domain containing 13	Q7L211
HGNC:24538	ABHD14A	abhydrolase domain containing 14A	Q9BUJ0
HGNC:38856	ABHD14A-ACY1	ABHD14A-ACY1 readthrough	
HGNC:28235	ABHD14B	abhydrolase domain containing 14B	Q96IU4
HGNC:26971	ABHD15	abhydrolase domain containing 15	Q6UXT9
HGNC:49685	ABHD15-AS1	ABHD15 antisense RNA 1	
HGNC:13921	ABHD16A	abhydrolase domain containing 16A	O95870
HGNC:16128	ABHD16B	abhydrolase domain containing 16B	Q9H3Z7
HGNC:28756	ABHD17A	abhydrolase domain containing 17A	Q96GS6
HGNC:28394	ABHD17AP1	abhydrolase domain containing 17A pseudogene 1	
HGNC:34041	ABHD17AP3	abhydrolase domain containing 17A pseudogene 3	
HGNC:34042	ABHD17AP4	abhydrolase domain containing 17A pseudogene P4	
HGNC:34043	ABHD17AP5	abhydrolase domain containing 17A pseudogene 5	
HGNC:34044	ABHD17AP6	abhydrolase domain containing 17A pseudogene 6	
HGNC:38508	ABHD17AP7	abhydrolase domain containing 17A pseudogene 7	
HGNC:38509	ABHD17AP8	abhydrolase domain containing 17A pseudogene 8	
HGNC:38510	ABHD17AP9	abhydrolase domain containing 17A pseudogene 9	
HGNC:24278	ABHD17B	abhydrolase domain containing 17B	Q5VST6
HGNC:26925	ABHD17C	abhydrolase domain containing 17C	Q6PCB6
HGNC:26111	ABHD18	abhydrolase domain containing 18	Q0P651
HGNC:11320	ABI1	abl interactor 1	Q8IZP0
HGNC:20035	ABI1P1	abl-interactor 1 pseudogene 1	
HGNC:24011	ABI2	abl-interactor 2	Q9NYB9
HGNC:29859	ABI3	ABI family member 3	Q9P2A4
HGNC:17265	ABI3BP	ABI family member 3 binding protein	Q7Z7G0
HGNC:76	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	P00519
HGNC:77	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	P42684
HGNC:78	ABLIM1	actin binding LIM protein 1	O14639
HGNC:19195	ABLIM2	actin binding LIM protein family member 2	Q6H8Q1
HGNC:29132	ABLIM3	actin binding LIM protein family member 3	O94929
HGNC:79	ABO	ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)	P16442
HGNC:81	ABR	active BCR-related	Q12979
HGNC:30655	ABRA	actin binding Rho activating protein	Q8N0Z2
HGNC:21230	ABRACL	ABRA C-terminal like	Q9P1F3
HGNC:17369	ABT1	activator of basal transcription 1	Q9ULW3
HGNC:39557	ABT1P1	activator of basal transcription 1 pseudogene 1	
HGNC:18275	ABTB1	ankyrin repeat and BTB domain containing 1	Q969K4
HGNC:23842	ABTB2	ankyrin repeat and BTB domain containing 2	Q8N961
HGNC:82	ACAA1	acetyl-CoA acyltransferase 1	P09110
HGNC:83	ACAA2	acetyl-CoA acyltransferase 2	P42765
HGNC:84	ACACA	acetyl-CoA carboxylase alpha	Q13085
HGNC:85	ACACB	acetyl-CoA carboxylase beta	O00763
HGNC:87	ACAD8	acyl-CoA dehydrogenase family member 8	Q9UKU7
HGNC:21497	ACAD9	acyl-CoA dehydrogenase family member 9	Q9H845
HGNC:21597	ACAD10	acyl-CoA dehydrogenase family member 10	Q6JQN1
HGNC:30211	ACAD11	acyl-CoA dehydrogenase family member 11	Q709F0
HGNC:88	ACADL	acyl-CoA dehydrogenase, long chain	P28330
HGNC:89	ACADM	acyl-CoA dehydrogenase, C-4 to C-12 straight chain	P11310
HGNC:90	ACADS	acyl-CoA dehydrogenase, C-2 to C-3 short chain	P16219
HGNC:91	ACADSB	acyl-CoA dehydrogenase, short/branched chain	P45954
HGNC:92	ACADVL	acyl-CoA dehydrogenase, very long chain	P49748
HGNC:319	ACAN	aggrecan	P16112
HGNC:16467	ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	Q15027
HGNC:16469	ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	Q15057
HGNC:41426	ACAP2-IT1	ACAP2 intronic transcript 1	
HGNC:16754	ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	Q96P50
HGNC:93	ACAT1	acetyl-CoA acetyltransferase 1	P24752
HGNC:94	ACAT2	acetyl-CoA acetyltransferase 2	Q9BWD1
HGNC:15453	ACBD3	acyl-CoA binding domain containing 3	Q9H3P7
HGNC:23337	ACBD4	acyl-CoA binding domain containing 4	Q8NC06
HGNC:23338	ACBD5	acyl-CoA binding domain containing 5	Q5T8D3
HGNC:23339	ACBD6	acyl-CoA binding domain containing 6	Q9BR61
HGNC:17715	ACBD7	acyl-CoA binding domain containing 7	Q8N6N7
HGNC:23989	ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	Q96QU6
HGNC:34391	ACCSL	1-aminocyclopropane-1-carboxylate synthase (inactive)-like	Q4AC99
HGNC:25070	ACD	adrenocortical dysplasia homolog	Q96AP0
HGNC:2707	ACE	angiotensin I converting enzyme	P12821
HGNC:13557	ACE2	angiotensin I converting enzyme 2	Q9BYF1
HGNC:44365	ACE3P	angiotensin I converting enzyme (peptidyl-dipeptidase A) 3, pseudogene	
HGNC:18356	ACER1	alkaline ceramidase 1	Q8TDN7
HGNC:23675	ACER2	alkaline ceramidase 2	Q5QJU3
HGNC:16066	ACER3	alkaline ceramidase 3	Q9NUN7
HGNC:108	ACHE	acetylcholinesterase (Cartwright blood group)	P22303
HGNC:17066	ACIN1	apoptotic chromatin condensation inducer 1	Q9UKV3
HGNC:4035	ACKR1	atypical chemokine receptor 1 (Duffy blood group)	Q16570
HGNC:1565	ACKR2	atypical chemokine receptor 2	O00590
HGNC:23692	ACKR3	atypical chemokine receptor 3	P25106
HGNC:1611	ACKR4	atypical chemokine receptor 4	Q9NPB9
HGNC:114	ACLS	acrocallosal syndrome	
HGNC:115	ACLY	ATP citrate lyase	P53396
HGNC:19288	ACMSD	aminocarboxymuconate semialdehyde decarboxylase	Q8TDX5
HGNC:117	ACO1	aconitase 1	P21399
HGNC:118	ACO2	aconitase 2	Q99798
HGNC:33904	ACOD1	aconitate decarboxylase 1	A6NK06
HGNC:33128	ACOT1	acyl-CoA thioesterase 1	Q86TX2
HGNC:18431	ACOT2	acyl-CoA thioesterase 2	P49753
HGNC:19748	ACOT4	acyl-CoA thioesterase 4	Q8N9L9
HGNC:33159	ACOT6	acyl-CoA thioesterase 6	Q3I5F7
HGNC:24157	ACOT7	acyl-CoA thioesterase 7	O00154
HGNC:15919	ACOT8	acyl-CoA thioesterase 8	O14734
HGNC:17152	ACOT9	acyl-CoA thioesterase 9	Q9Y305
HGNC:18156	ACOT11	acyl-CoA thioesterase 11	Q8WXI4
HGNC:24436	ACOT12	acyl-CoA thioesterase 12	Q8WYK0
HGNC:20999	ACOT13	acyl-CoA thioesterase 13	Q9NPJ3
HGNC:119	ACOX1	acyl-CoA oxidase 1, palmitoyl	Q15067
HGNC:120	ACOX2	acyl-CoA oxidase 2, branched chain	Q99424
HGNC:121	ACOX3	acyl-CoA oxidase 3, pristanoyl	O15254
HGNC:25621	ACOXL	acyl-CoA oxidase-like	Q9NUZ1
HGNC:122	ACP1	acid phosphatase 1, soluble	P24666
HGNC:123	ACP2	acid phosphatase 2, lysosomal	P11117
HGNC:124	ACP5	acid phosphatase 5, tartrate resistant	P13686
HGNC:29609	ACP6	acid phosphatase 6, lysophosphatidic	Q9NPH0
HGNC:33781	ACP7	acid phosphatase 7, tartrate resistant (putative)	Q6ZNF0
HGNC:125	ACPP	acid phosphatase, prostate	P15309
HGNC:14376	ACPT	acid phosphatase, testicular	Q9BZG2
HGNC:126	ACR	acrosin	P10323
HGNC:17195	ACRBP	acrosin binding protein	Q8NEB7
HGNC:15805	ACRC	acidic repeat containing	Q96QF7
HGNC:127	ACRV1	acrosomal vesicle protein 1	P26436
HGNC:29567	ACSBG1	acyl-CoA synthetase bubblegum family member 1	Q96GR2
HGNC:24174	ACSBG2	acyl-CoA synthetase bubblegum family member 2	Q5FVE4
HGNC:26101	ACSF2	acyl-CoA synthetase family member 2	Q96CM8
HGNC:27288	ACSF3	acyl-CoA synthetase family member 3	Q4G176
HGNC:3569	ACSL1	acyl-CoA synthetase long-chain family member 1	P33121
HGNC:3570	ACSL3	acyl-CoA synthetase long-chain family member 3	O95573
HGNC:3571	ACSL4	acyl-CoA synthetase long-chain family member 4	O60488
HGNC:16526	ACSL5	acyl-CoA synthetase long-chain family member 5	Q9ULC5
HGNC:16496	ACSL6	acyl-CoA synthetase long-chain family member 6	Q9UKU0
HGNC:18049	ACSM1	acyl-CoA synthetase medium-chain family member 1	Q08AH1
HGNC:32017	ACSM2A	acyl-CoA synthetase medium-chain family member 2A	Q08AH3
HGNC:30931	ACSM2B	acyl-CoA synthetase medium-chain family member 2B	Q68CK6
HGNC:10522	ACSM3	acyl-CoA synthetase medium-chain family member 3	Q53FZ2
HGNC:32016	ACSM4	acyl-CoA synthetase medium-chain family member 4	P0C7M7
HGNC:26060	ACSM5	acyl-CoA synthetase medium-chain family member 5	Q6NUN0
HGNC:51295	ACSM5P1	acyl-CoA synthetase medium-chain family member 5 pseudogene 1	
HGNC:31665	ACSM6	acyl-CoA synthetase medium-chain family member 6	Q6P461
HGNC:16091	ACSS1	acyl-CoA synthetase short-chain family member 1	Q9NUB1
HGNC:15814	ACSS2	acyl-CoA synthetase short-chain family member 2	Q9NR19
HGNC:24723	ACSS3	acyl-CoA synthetase short-chain family member 3	Q9H6R3
HGNC:129	ACTA1	actin, alpha 1, skeletal muscle	P68133
HGNC:130	ACTA2	actin, alpha 2, smooth muscle, aorta	P62736
HGNC:45169	ACTA2-AS1	ACTA2 antisense RNA 1	
HGNC:132	ACTB	actin, beta	P60709
HGNC:17780	ACTBL2	actin, beta-like 2	Q562R1
HGNC:134	ACTBP1	actin, beta pseudogene 1	
HGNC:135	ACTBP2	actin, beta pseudogene 2	
HGNC:136	ACTBP3	actin, beta pseudogene 3	
HGNC:137	ACTBP4	actin, beta pseudogene 4	
HGNC:139	ACTBP6	actin, beta pseudogene 6	
HGNC:140	ACTBP7	actin, beta pseudogene 7	
HGNC:141	ACTBP8	actin, beta pseudogene 8	
HGNC:142	ACTBP9	actin, beta pseudogene 9	
HGNC:31819	ACTBP10	actin, beta pseudogene 10	
HGNC:33971	ACTBP11	actin, beta pseudogene 11	
HGNC:150	ACTBP12	actin, beta pseudogene 12	
HGNC:44626	ACTBP13	actin, beta pseudogene 13	
HGNC:45086	ACTBP14	actin, beta pseudogene 14	
HGNC:143	ACTC1	actin, alpha, cardiac muscle 1	P68032
HGNC:144	ACTG1	actin gamma 1	P63261
HGNC:146	ACTG1P1	actin gamma 1 pseudogene 1	
HGNC:147	ACTG1P2	actin gamma 1 pseudogene 2	
HGNC:148	ACTG1P3	actin gamma 1 pseudogene 3	
HGNC:149	ACTG1P4	actin gamma 1 pseudogene 4	
HGNC:151	ACTG1P6	actin gamma 1 pseudogene 6	
HGNC:152	ACTG1P7	actin gamma 1 pseudogene 7	
HGNC:153	ACTG1P8	actin gamma 1 pseudogene 8	
HGNC:154	ACTG1P9	actin gamma 1 pseudogene 9	
HGNC:155	ACTG1P10	actin gamma 1 pseudogene 10	
HGNC:37651	ACTG1P11	actin gamma 1 pseudogene 11	
HGNC:44496	ACTG1P12	actin gamma 1 pseudogene 12	
HGNC:49058	ACTG1P13	actin gamma 1 pseudogene 13	
HGNC:49751	ACTG1P14	actin gamma 1 pseudogene 14	
HGNC:51495	ACTG1P15	actin gamma 1 pseudogene 15	
HGNC:51496	ACTG1P16	actin gamma 1 pseudogene 16	
HGNC:51497	ACTG1P17	actin gamma 1 pseudogene 17	
HGNC:51498	ACTG1P18	actin gamma 1 pseudogene 18	
HGNC:51499	ACTG1P19	actin gamma 1 pseudogene 19	
HGNC:51500	ACTG1P20	actin gamma 1 pseudogene 20	
HGNC:51501	ACTG1P21	actin gamma 1 pseudogene 21	
HGNC:51502	ACTG1P22	actin gamma 1 pseudogene 22	
HGNC:51503	ACTG1P23	actin gamma 1 pseudogene 23	
HGNC:49661	ACTG1P24	actin gamma 1 pseudogene 24	
HGNC:145	ACTG2	actin, gamma 2, smooth muscle, enteric	P63267
HGNC:24124	ACTL6A	actin like 6A	O96019
HGNC:160	ACTL6B	actin like 6B	O94805
HGNC:161	ACTL7A	actin like 7A	Q9Y615
HGNC:162	ACTL7B	actin like 7B	Q9Y614
HGNC:24018	ACTL8	actin like 8	Q9H568
HGNC:28494	ACTL9	actin like 9	Q8TC94
HGNC:16127	ACTL10	actin like 10	Q5JWF8
HGNC:163	ACTN1	actinin alpha 1	P12814
HGNC:20131	ACTN1-AS1	ACTN1 antisense RNA 1	
HGNC:164	ACTN2	actinin alpha 2	P35609
HGNC:165	ACTN3	actinin alpha 3 (gene/pseudogene)	Q08043
HGNC:166	ACTN4	actinin alpha 4	O43707
HGNC:44028	ACTN4P1	actinin alpha 4 pseudogene 1	
HGNC:44032	ACTN4P2	actinin alpha 4 pseudogene 2	
HGNC:51621	ACTP1	actin family pseudogene 1	
HGNC:167	ACTR1A	ARP1 actin-related protein 1 homolog A, centractin alpha	P61163
HGNC:168	ACTR1B	ARP1 actin-related protein 1 homolog B, centractin beta	P42025
HGNC:169	ACTR2	ARP2 actin-related protein 2 homolog (yeast)	P61160
HGNC:170	ACTR3	ARP3 actin-related protein 3 homolog (yeast)	P61158
HGNC:17256	ACTR3B	ARP3 actin-related protein 3 homolog B (yeast)	Q9P1U1
HGNC:37724	ACTR3BP1	ACTR3B pseudogene 1	
HGNC:38677	ACTR3BP2	ACTR3B pseudogene 2	
HGNC:38678	ACTR3BP3	ACTR3B pseudogene 3	
HGNC:38681	ACTR3BP4	ACTR3B pseudogene 4	
HGNC:38682	ACTR3BP5	ACTR3B pseudogene 5	
HGNC:38683	ACTR3BP6	ACTR3B pseudogene 6	
HGNC:37282	ACTR3C	ARP3 actin-related protein 3 homolog C	Q9C0K3
HGNC:31820	ACTR3P1	ACTR3 pseudogene 1	
HGNC:38676	ACTR3P2	ACTR3 pseudogene 2	
HGNC:38679	ACTR3P3	ACTR3 pseudogene 3	
HGNC:14671	ACTR5	ARP5 actin-related protein 5 homolog	Q9H9F9
HGNC:24025	ACTR6	ARP6 actin-related protein 6 homolog	Q9GZN1
HGNC:44210	ACTR6P1	ACTR6 pseudogene 1	
HGNC:14672	ACTR8	ARP8 actin-related protein 8 homolog	Q9H981
HGNC:17372	ACTR10	actin-related protein 10 homolog	Q9NZ32
HGNC:24027	ACTRT1	actin related protein T1	Q8TDG2
HGNC:24026	ACTRT2	actin related protein T2	Q8TDY3
HGNC:24022	ACTRT3	actin related protein T3	Q9BYD9
HGNC:171	ACVR1	activin A receptor type 1	Q04771
HGNC:172	ACVR1B	activin A receptor type 1B	P36896
HGNC:18123	ACVR1C	activin A receptor type 1C	Q8NER5
HGNC:173	ACVR2A	activin A receptor type 2A	P27037
HGNC:174	ACVR2B	activin A receptor type 2B	Q13705
HGNC:44161	ACVR2B-AS1	ACVR2B antisense RNA 1	
HGNC:175	ACVRL1	activin A receptor like type 1	P37023
HGNC:177	ACY1	aminoacylase 1	Q03154
HGNC:24104	ACY3	aminoacylase 3	Q96HD9
HGNC:179	ACYP1	acylphosphatase 1	P07311
HGNC:180	ACYP2	acylphosphatase 2	P14621
HGNC:185	AD5	Alzheimer disease 5	
HGNC:186	ADA	adenosine deaminase	P00813
HGNC:30713	ADAD1	adenosine deaminase domain containing 1	Q96M93
HGNC:44550	ADAD1P1	adenosine deaminase domain containing 1 pseudogene 1	
HGNC:44552	ADAD1P2	adenosine deaminase domain containing 1 pseudogene 2	
HGNC:30714	ADAD2	adenosine deaminase domain containing 2	Q8NCV1
HGNC:31853	ADAL	adenosine deaminase-like	Q6DHV7
HGNC:187	ADAM1A	ADAM metallopeptidase domain 1A (pseudogene)	
HGNC:44366	ADAM1B	ADAM metallopeptidase domain 1B (pseudogene)	
HGNC:198	ADAM2	ADAM metallopeptidase domain 2	Q99965
HGNC:209	ADAM3A	ADAM metallopeptidase domain 3A (pseudogene)	
HGNC:210	ADAM3B	ADAM metallopeptidase domain 3B (pseudogene)	
HGNC:212	ADAM5	ADAM metallopeptidase domain 5 (pseudogene)	Q6NVV9
HGNC:213	ADAM6	ADAM metallopeptidase domain 6 (pseudogene)	
HGNC:214	ADAM7	ADAM metallopeptidase domain 7	Q9H2U9
HGNC:215	ADAM8	ADAM metallopeptidase domain 8	P78325
HGNC:216	ADAM9	ADAM metallopeptidase domain 9	Q13443
HGNC:188	ADAM10	ADAM metallopeptidase domain 10	O14672
HGNC:189	ADAM11	ADAM metallopeptidase domain 11	O75078
HGNC:190	ADAM12	ADAM metallopeptidase domain 12	O43184
HGNC:193	ADAM15	ADAM metallopeptidase domain 15	Q13444
HGNC:195	ADAM17	ADAM metallopeptidase domain 17	P78536
HGNC:196	ADAM18	ADAM metallopeptidase domain 18	Q9Y3Q7
HGNC:197	ADAM19	ADAM metallopeptidase domain 19	Q9H013
HGNC:199	ADAM20	ADAM metallopeptidase domain 20	O43506
HGNC:20102	ADAM20P1	ADAM metallopeptidase domain 20 pseudogene 1	
HGNC:43901	ADAM20P2	ADAM metallopeptidase domain 20 pseudogene 2	
HGNC:43902	ADAM20P3	ADAM metallopeptidase domain 20 pseudogene 3	
HGNC:200	ADAM21	ADAM metallopeptidase domain 21	Q9UKJ8
HGNC:19822	ADAM21P1	ADAM metallopeptidase domain 21 pseudogene 1	
HGNC:201	ADAM22	ADAM metallopeptidase domain 22	Q9P0K1
HGNC:202	ADAM23	ADAM metallopeptidase domain 23	O75077
HGNC:203	ADAM24P	ADAM metallopeptidase domain 24, pseudogene	
HGNC:206	ADAM28	ADAM metallopeptidase domain 28	Q9UKQ2
HGNC:207	ADAM29	ADAM metallopeptidase domain 29	Q9UKF5
HGNC:208	ADAM30	ADAM metallopeptidase domain 30	Q9UKF2
HGNC:15479	ADAM32	ADAM metallopeptidase domain 32	Q8TC27
HGNC:15478	ADAM33	ADAM metallopeptidase domain 33	Q9BZ11
HGNC:16299	ADAMDEC1	ADAM like decysin 1	O15204
HGNC:217	ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif 1	Q9UHI8
HGNC:218	ADAMTS2	ADAM metallopeptidase with thrombospondin type 1 motif 2	O95450
HGNC:219	ADAMTS3	ADAM metallopeptidase with thrombospondin type 1 motif 3	O15072
HGNC:220	ADAMTS4	ADAM metallopeptidase with thrombospondin type 1 motif 4	O75173
HGNC:221	ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif 5	Q9UNA0
HGNC:222	ADAMTS6	ADAM metallopeptidase with thrombospondin type 1 motif 6	Q9UKP5
HGNC:223	ADAMTS7	ADAM metallopeptidase with thrombospondin type 1 motif 7	Q9UKP4
HGNC:49407	ADAMTS7P1	ADAMTS7 pseudogene 1	
HGNC:49409	ADAMTS7P3	ADAMTS7 pseudogene 3	
HGNC:49410	ADAMTS7P4	ADAMTS7 pseudogene 4	
